Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Access_to_Resources_Encoded,Parental_Involvement_Encoded,Motivation_Level_Encoded,Family_Income_Encoded,Teacher_Quality_Encoded,Peer_Influence_Encoded,Parental_Education_Level_Encoded,Distance_from_Home_Encoded,Extracurricular_Activities_Encoded,Internet_Access_Encoded,Learning_Disabilities_Encoded,School_Type_Encoded,Gender_Encoded
15.0,78,9,75,1.0,1,65.0,3,3,1,1,2,1,1,1,0,1,0,0,0
18.0,91,5,76,1.0,3,68.0,2,1,2,2,2,2,1,1,1,1,0,0,1
25.0,87,9,52,1.0,2,68.0,1,2,3,1,3,3,1,1,0,1,0,1,0
13.0,85,6,89,0.0,1,65.0,2,3,2,3,2,2,1,1,0,1,1,1,0
21.0,96,8,64,2.0,0,71.0,2,2,3,2,3,2,2,1,0,1,0,0,0
28.0,61,6,86,1.0,3,65.0,3,2,3,1,2,1,3,3,0,1,1,1,0
10.0,82,8,70,3.0,1,64.0,1,2,2,1,3,3,3,1,0,1,1,0,1
21.0,91,6,100,0.0,2,72.0,2,3,2,3,2,2,3,1,0,1,0,1,1
22.0,82,9,61,2.0,2,65.0,2,2,2,1,2,1,1,1,0,1,1,0,1
25.0,73,8,53,0.0,5,66.0,3,2,3,1,3,1,3,1,0,0,0,1,1
13.0,65,6,99,0.0,4,61.0,3,1,2,1,2,1,1,1,0,1,0,1,0
12.0,96,8,62,2.0,3,68.0,3,1,2,2,3,1,2,1,1,1,0,0,1
23.0,79,8,82,3.0,3,69.0,3,3,1,2,2,1,3,2,1,1,1,0,1
22.0,95,6,69,1.0,3,72.0,3,2,2,1,2,3,2,1,1,1,0,0,1
22.0,83,5,82,2.0,3,71.0,3,2,2,1,3,3,3,1,1,1,0,0,1
22.0,87,5,80,2.0,3,70.0,3,3,1,1,3,1,1,1,0,1,0,0,1
16.0,92,5,85,1.0,2,68.0,3,2,1,1,2,2,1,2,1,1,0,0,0
21.0,86,5,51,2.0,2,67.0,2,1,2,1,3,3,1,2,1,1,0,0,1
22.0,76,8,92,1.0,4,68.0,2,2,2,1,3,2,1,1,1,1,0,0,1
16.0,81,8,74,3.0,2,68.0,2,2,2,2,2,3,3,1,1,1,0,0,1
31.0,92,4,76,2.0,4,72.0,2,2,2,2,3,3,1,3,1,1,1,0,0
23.0,75,6,71,0.0,2,65.0,3,1,1,2,2,2,2,1,0,1,0,0,0
13.0,76,5,99,2.0,4,66.0,3,2,1,2,2,3,1,1,0,1,0,1,1
24.0,64,8,90,0.0,3,65.0,2,2,3,1,3,1,1,1,1,1,0,0,0
14.0,97,6,66,2.0,3,67.0,2,2,2,2,2,1,2,1,1,1,1,0,1
25.0,64,5,89,2.0,4,66.0,3,2,1,2,2,2,2,3,0,1,0,0,0
27.0,86,7,72,1.0,4,69.0,2,2,1,2,3,3,1,3,0,1,0,0,0
15.0,77,8,94,0.0,3,66.0,2,2,1,3,3,3,2,2,1,1,0,0,0
26.0,76,6,52,1.2926987210620042,3,69.0,3,2,2,3,1,2,1,1,1,1,0,0,0
22.0,87,7,68,0.0,2,67.0,1,3,2,1,2,2,1,1,1,0,0,0,0
25.0,63,6,71,1.0,3,66.0,2,3,2,2,1,3,1,1,1,1,0,1,0
31.0,84,9,87,2.0,3,71.0,2,2,2,1,2,2,2,3,1,1,0,1,0
19.0,91,6,59,1.2926987210620042,4,70.0,1,3,2,2,3,2,2,2,0,1,0,0,0
15.0,93,6,64,2.0,4,71.0,2,3,2,2,3,3,3,1,0,1,0,0,0
15.0,67,7,86,1.0,3,66.0,2,2,3,3,2,3,3,1,1,1,0,1,0
15.0,96,7,54,3.0,2,67.0,2,2,3,2,3,1,1,1,0,0,0,0,0
20.0,86,8,60,1.0,4,66.0,1,3,2,2,2,2,2,3,0,1,1,0,1
22.0,95,9,88,0.0,2,72.0,3,2,1,1,3,3,3,1,0,1,0,0,0
22.0,79,9,94,1.0,3,68.0,2,2,2,2,2,3,1,1,0,1,0,0,0
25.0,82,6,86,3.0,3,69.0,2,2,2,1,3,3,1,1,0,0,0,0,1
20.0,97,7,76,2.0,3,71.0,2,2,1,1,1,3,3,1,1,1,0,1,0
29.0,96,9,55,0.0,2,70.0,2,2,1,2,2,2,3,3,1,0,0,0,1
18.0,78,9,91,2.0,4,67.0,2,2,3,3,1,2,2,3,0,1,0,0,1
36.0,71,6,56,2.0,2,69.0,2,2,2,3,2,3,1,3,1,1,0,0,0
24.0,76,8,69,2.0,1,65.0,3,1,1,2,2,2,1,2,0,1,0,0,0
15.0,76,8,53,1.0,4,65.0,3,3,2,1,2,2,2,1,0,1,0,0,0
14.0,71,8,85,2.0,4,64.0,2,2,1,2,3,2,1,1,1,1,0,0,0
23.0,71,9,75,1.0,2,63.0,1,1,1,1,2,1,2,1,1,1,0,0,0
19.0,94,5,95,3.0,2,69.0,2,1,2,1,1,3,1,2,1,1,0,0,0
24.0,63,6,57,1.0,5,64.0,1,2,2,1,3,2,2,1,1,1,0,1,1
23.0,87,8,91,0.0,3,72.0,3,3,3,3,2,3,1,2,1,1,0,1,0
20.0,67,7,76,0.0,4,63.0,2,1,2,2,2,2,1,1,1,1,0,0,0
15.0,74,4,68,3.0,3,64.0,3,1,1,1,2,3,1,1,1,1,0,0,1
11.0,62,5,82,3.0,4,64.0,3,2,2,3,2,2,2,2,1,1,0,1,0
17.0,71,8,90,1.2926987210620042,1,67.0,2,2,2,2,2,3,3,3,1,1,0,0,0
25.0,91,8,72,2.0,0,71.0,2,2,1,2,3,3,3,1,0,1,0,0,0
21.0,95,5,62,1.0,4,70.0,2,2,3,2,1,3,1,1,0,1,0,0,0
13.0,69,9,96,0.0,4,61.0,1,2,1,3,2,2,1,3,1,1,0,1,1
21.0,79,7,66,2.0,4,67.0,3,2,1,1,2,1,2,2,1,1,0,0,0
22.0,79,5,100,1.2926987210620042,3,72.0,2,3,2,3,3,1,2,1,0,1,0,0,0
15.0,95,6,88,1.0,5,66.0,1,1,1,1,2,1,1,1,1,1,0,0,0
21.0,91,5,84,1.0,2,70.0,3,2,2,3,1,2,1,1,1,1,0,0,0
20.0,81,6,51,3.0,4,67.0,2,3,3,2,2,2,1,1,1,0,1,0,0
13.0,87,4,72,2.0,3,67.0,1,3,2,2,3,2,1,2,1,1,0,0,1
22.0,94,7,75,2.0,2,71.0,2,1,3,3,2,2,2,1,1,1,0,0,1
23.0,60,8,69,1.0,4,66.0,2,3,2,1,2,3,2,1,1,1,0,1,0
26.0,76,5,57,1.0,4,68.0,2,2,2,2,2,3,1,1,1,1,0,0,0
26.0,96,7,68,3.0,3,74.0,2,2,2,3,2,3,2,1,1,1,0,1,1
12.0,90,6,54,1.0,3,64.0,1,2,2,3,2,2,1,1,1,0,0,0,0
14.0,82,8,65,1.0,3,65.0,2,2,2,1,2,3,2,1,0,1,0,1,0
23.0,81,4,54,1.0,3,66.0,2,1,2,1,2,2,2,1,1,1,0,0,0
23.0,74,8,88,0.0,3,66.0,3,2,1,2,3,1,1,1,1,1,1,0,0
23.0,81,4,84,2.0,5,68.0,1,2,2,2,2,3,1,1,0,1,0,0,0
19.969226081657524,86,7,97,2.0,1,67.07012148239274,2,3,2,2,3,3,1,1,1,1,0,0,1
23.0,77,6,69,1.0,2,67.0,3,2,1,2,2,3,1,2,1,1,0,1,1
27.0,89,6,89,3.0,3,74.0,3,2,2,2,2,3,1,1,1,1,0,1,0
26.0,94,5,79,1.0,2,74.0,3,2,3,1,3,3,3,1,0,1,0,0,0
24.0,66,9,82,1.0,2,62.0,1,2,1,2,2,2,1,1,0,1,1,0,1
18.0,78,5,77,2.0,4,66.0,2,3,2,2,2,2,1,3,1,0,0,0,0
25.0,76,5,89,3.0,3,69.0,2,2,3,2,3,2,1,3,1,1,0,0,1
15.0,87,10,52,2.0,3,68.0,3,2,2,1,3,3,2,1,1,1,0,1,0
19.0,70,7,54,0.0,2,67.07012148239274,1,2,3,2,2,3,1,2,0,1,1,0,0
17.0,86,5,55,2.0,4,66.0,1,3,1,3,2,2,2,1,0,0,0,1,0
20.0,95,7,64,2.0,3,68.0,2,1,1,2,3,2,1,1,1,0,0,0,1
34.0,77,7,80,0.0,3,69.0,1,2,1,2,2,3,1,1,1,1,0,0,0
9.0,96,4,82,0.0,4,67.0,2,2,3,1,2,3,2,1,1,0,0,0,0
24.0,100,6,86,2.0,5,75.0,3,3,1,2,2,3,1,1,1,1,0,1,0
10.0,64,7,64,0.0,4,60.0,3,2,3,2,2,3,1,2,0,1,1,0,1
17.0,69,9,83,2.0,4,66.0,2,3,2,2,3,3,2,2,1,1,1,1,1
27.0,98,7,56,1.0,3,73.0,3,1,1,3,2,3,2,1,1,1,0,1,1
20.0,98,7,50,1.0,2,68.0,1,2,1,2,3,2,1,1,0,1,0,1,1
14.0,64,6,85,0.0,3,62.0,2,2,2,2,2,2,1,1,1,1,0,0,0
16.0,61,9,86,2.0,2,62.0,2,2,1,1,3,3,1,1,0,1,0,0,0
24.0,66,8,81,1.0,4,65.0,1,3,3,2,2,2,1,3,1,1,0,0,0
16.0,100,8,63,2.0,3,69.0,1,3,3,1,2,1,1,2,1,1,0,0,0
21.0,67,7,96,3.0,2,64.0,2,2,1,1,2,2,1,3,0,1,0,0,1
20.0,80,5,94,0.0,4,67.0,3,2,2,1,1,3,3,2,0,1,1,1,1
16.0,94,9,76,0.0,2,70.0,3,3,2,1,3,2,1,1,1,1,0,0,0
33.0,61,7,99,2.0,3,70.0,2,2,3,2,3,2,2,1,0,1,0,0,1
24.0,84,7,65,3.0,3,69.0,1,3,1,2,3,3,1,1,0,1,0,0,1
8.0,71,8,75,0.0,3,61.0,1,3,2,2,3,3,1,1,0,1,0,0,0
21.0,94,7,96,0.0,2,69.0,2,2,1,2,2,2,3,2,0,1,1,1,0
16.0,71,5,73,1.0,0,63.0,2,3,2,2,2,2,1,1,1,1,1,0,0
25.0,87,7,74,0.0,4,67.0,1,2,1,2,3,2,1,1,1,1,1,0,0
15.0,87,4,54,1.0,6,65.0,2,1,2,2,2,2,1,2,0,1,0,0,0
19.0,69,7,61,3.0,4,66.0,2,2,3,3,3,2,1,2,1,1,0,0,0
23.0,61,9,58,1.2926987210620042,2,63.0,2,1,2,2,2,2,1,1,0,1,0,0,0
25.0,76,4,78,2.0,3,68.0,3,2,2,2,2,1,1,2,1,1,0,1,1
13.0,72,7,66,0.0,4,65.0,3,3,2,1,3,2,3,1,0,1,0,0,0
18.0,92,8,54,1.0,3,67.0,2,1,2,2,2,3,1,1,1,1,0,0,0
17.0,92,8,75,2.0,3,68.0,1,1,2,2,3,2,3,1,1,1,0,0,1
16.0,78,6,83,0.0,3,64.0,3,2,2,1,1,2,2,1,0,1,1,0,0
31.0,84,5,87,0.0,3,71.0,2,2,3,2,2,3,2,2,0,1,0,1,0
22.0,84,6,92,0.0,5,69.0,2,2,1,2,2,2,1,1,1,1,0,0,1
12.0,93,9,74,1.0,3,67.0,2,2,1,2,2,2,3,2,1,1,0,0,0
26.0,77,4,70,2.0,3,65.0,2,1,1,3,1,2,2,2,0,1,1,0,1
33.0,71,5,84,1.0,2,68.0,2,1,2,2,2,3,1,1,0,1,0,0,0
26.0,71,6,51,1.0,3,67.0,2,3,1,3,2,3,3,2,1,0,0,1,0
11.0,81,6,82,3.0,4,67.0,2,2,3,2,3,2,1,1,1,1,0,0,0
17.0,78,7,70,2.0,3,66.0,3,2,2,1,3,3,1,1,1,0,0,0,0
28.0,78,9,73,2.0,4,70.0,2,3,3,2,2,2,2,2,0,1,0,0,1
16.0,64,5,65,3.0,4,65.0,1,3,2,2,3,3,3,2,1,1,0,1,1
23.0,89,7,56,1.2926987210620042,4,69.0,1,1,1,2,1,3,3,1,1,1,0,1,1
25.0,69,7,70,1.0,4,65.0,2,2,1,3,3,3,1,3,1,0,0,0,1
14.0,68,6,65,1.0,3,63.0,2,3,2,3,2,2,2,1,0,1,1,0,0
20.0,77,5,98,2.0,2,67.0,2,2,1,1,3,2,3,3,0,1,0,1,1
19.969226081657524,69,6,97,1.0,3,61.0,2,3,2,1,2,3,1,1,1,1,0,0,1
14.0,83,6,82,0.0,2,65.0,1,2,2,2,2,3,1,1,1,1,0,0,1
18.0,75,8,95,1.0,2,66.0,3,1,2,1,1,2,2,1,1,1,0,0,1
13.0,78,8,88,0.0,3,66.0,3,2,3,3,1,2,2,1,1,1,0,0,0
30.0,81,5,67,1.0,1,69.0,1,2,2,3,3,1,1,1,1,1,0,0,0
11.0,68,6,80,2.0,3,63.0,2,2,2,2,2,3,2,2,0,1,0,0,1
17.0,66,6,61,1.0,6,65.0,3,1,2,3,2,3,3,1,0,1,0,0,0
21.0,95,10,84,0.0,4,67.0,1,1,1,3,2,2,1,1,0,1,1,0,0
29.0,77,7,52,2.0,3,69.0,3,3,2,3,2,1,1,1,1,1,1,0,1
11.0,76,5,92,1.2926987210620042,2,65.0,2,1,2,2,1,1,3,1,1,1,0,0,0
27.0,61,6,79,1.0,3,65.0,2,2,2,1,2,3,1,2,0,1,0,0,0
20.0,80,6,53,0.0,2,65.0,1,3,2,1,2,2,2,2,1,1,0,0,0
14.0,82,8,94,2.0,5,67.0,3,2,1,1,3,1,2,3,1,1,0,0,1
23.0,82,8,94,1.0,2,66.0,2,1,2,2,2,1,1,1,1,1,1,0,0
21.0,88,7,93,1.2926987210620042,3,72.0,3,2,2,1,2,3,1,1,0,1,0,0,1
16.0,67,7,89,3.0,3,66.0,3,2,3,1,2,3,2,1,0,1,0,0,0
20.0,70,7,84,2.0,4,65.0,2,2,1,2,3,2,2,3,1,0,0,1,0
18.0,92,7,70,1.0,3,69.0,2,3,2,1,2,2,1,2,1,1,0,0,0
21.0,98,4,57,2.0,2,68.0,1,2,2,3,1,2,1,1,0,1,0,0,1
24.0,65,7,64,1.0,1,64.0,1,2,1,3,2,2,3,1,0,1,0,0,0
30.0,80,6,67,3.0,4,69.0,3,1,2,2,2,1,2,2,0,1,0,0,1
13.0,69,5,68,0.0,1,59.0,1,2,1,3,2,3,1,2,1,1,1,0,1
33.0,62,10,78,0.0,3,68.0,2,3,2,2,2,3,1,2,1,1,0,1,1
8.0,73,7,60,0.0,3,60.0,2,2,2,3,2,2,1,1,0,0,0,1,1
19.0,66,7,59,1.0,3,62.0,3,2,2,3,2,1,1,3,0,1,0,0,0
24.0,88,6,86,0.0,3,67.0,2,1,1,1,1,1,2,1,1,1,0,0,0
22.0,81,8,50,1.2926987210620042,5,68.0,3,1,3,2,2,3,1,3,1,1,0,1,1
16.0,66,5,57,3.0,3,64.0,3,2,3,2,2,3,1,2,1,1,0,0,1
19.0,60,7,72,3.0,3,65.0,3,2,3,1,3,3,1,2,1,1,0,0,1
17.0,92,6,57,2.0,2,65.0,1,1,2,2,2,3,1,2,1,1,1,1,1
